iter	Passed	Remaining
148	259941	1484631
149	261692	1482925
150	263433	1481160
151	265184	1479451
152	266922	1477667
153	268652	1475845
154	270374	1473975
155	272130	1472293
156	273845	1470395
157	275613	1468773
158	277323	1466851
159	279059	1465060
160	280854	1463582
161	282618	1461939
162	284385	1460309
163	286102	1458425
164	287842	1456655
165	289588	1454921
166	291315	1453087
167	293052	1451309
168	294801	1449585
169	296539	1447809
170	298264	1445973
171	300020	1444284
172	301750	1442472
173	303498	1440746
174	305221	1438902
175	306967	1437167
176	308706	1435397
177	310448	1433643
178	312183	1431858
179	313960	1430263
180	315720	1428590
181	317436	1426721
182	319166	1424913
183	320911	1423171
184	322640	1421361
185	324372	1419563
186	326134	1417898
187	327913	1416306
188	329621	1414408
189	331357	1412630
190	333093	1410850
191	334820	1409037
192	336584	1407378
193	338324	1405614
194	340067	1403868
195	341788	1402031
196	343527	1400268
197	345256	1398462
198	346989	1396675
199	348750	1395001
200	350495	1393264
201	352262	1391609
202	353980	1389764
203	355722	1388016
204	357448	1386201
205	359198	1384485
206	360951	1382777
207	362667	1380924
208	364492	1379489
209	366206	1377632
210	367949	1375886
211	369673	1374068
212	371433	1372385
213	373161	1370585
214	374905	1368840
215	376658	1367131
216	378371	1365276
217	380157	1363685
218	381893	1361912
219	383655	1360233
220	385368	1358379
221	387110	1356629
222	388848	1354867
223	390597	1353140
224	392349	1351425
225	394074	1349618
226	395814	1347862
227	397556	1346113
228	399285	1344318
229	401008	1342507
230	402767	1340815
231	404520	1339100
232	406262	1337354
233	408000	1335591
234	409735	1333819
235	411473	1332058
236	413210	1330292
237	414978	1328627
238	416705	1326831
239	418420	1324996
240	420163	1323253
241	421896	1321477
242	423663	1319807
243	425387	1318004
244	427118	1316220
245	428851	1314448
246	430606	1312739
247	432343	1310976
248	434056	1309141
249	435810	1307432
250	437572	1305744
251	439318	1304009
252	441044	1302214
253	442776	1300438
254	444512	1298673
255	446238	1296881
256	448005	1295206
257	449731	1293412
258	451461	1291634
259	453187	1289840
260	454927	1288089
261	456656	1286307
262	458387	1284531
263	460149	1282842
264	461903	1281128
265	463669	1279449
266	465399	1277669
267	467143	1275929
268	468893	1274206
269	470656	1272514
270	472385	1270734
271	474105	1268929
272	475853	1267200
273	477585	1265427
274	479339	1263712
275	481127	1262086
276	482863	1260326
277	484606	1258582
278	486321	1256767
279	488068	1255032
280	489795	1253247
281	491585	1251625
282	493298	1249805
283	495021	1248011
284	496752	1246238
285	498479	1244457
286	500246	1242771
287	502011	1241084
288	503765	1239366
289	505492	1237586
290	507235	1235842
291	508963	1234062
292	510721	1232355
293	512497	1230692
294	514253	1228977
295	515987	1227213
296	517702	1225404
297	519457	1223689
298	521186	1221913
299	522933	1220177
300	524675	1218432
301	526405	1216658
302	528150	1214921
303	529879	1213144
304	531629	1211419
305	533360	1209648
306	535090	1207874
307	536817	1206096
308	538537	1204302
309	540272	1202541
310	541983	1200727
311	543713	1198958
312	545430	1197159
313	547188	1195451
314	548917	1193677
315	550656	1191926
316	552394	1190174
317	554121	1188399
318	555864	1186656
319	557616	1184934
320	559362	1183199
321	561124	1181498
322	562855	1179730
323	564588	1177969
324	566294	1176149
325	568049	1174433
326	569761	1172629
327	571527	1170933
328	573248	1169149
329	574993	1167411
330	576726	1165649
331	578450	1163869
332	580188	1162120
333	581904	1160323
334	583644	1158578
335	585366	1156795
336	587094	1155026
337	588815	1153242
338	590554	1151493
339	592285	1149730
340	593995	1147927
341	595735	1146180
342	597444	1144376
343	599167	1142597
344	600903	1140846
345	602646	1139106
346	604379	1137347
347	606097	1135562
348	607834	1133810
349	609556	1132033
350	611312	1130317
351	613058	1128584
352	614789	1126823
353	616559	1125134
354	618346	1123475
355	620079	1121717
356	621801	1119939
357	623546	1118203
358	625259	1116410
359	626986	1114642
360	628721	1112889
361	630489	1111194
362	632232	1109454
363	633942	1107657
364	635680	1105909
365	637409	1104146
366	639131	1102371
367	640859	1100606
368	642586	1098840
369	644333	1097107
370	646054	1095333
371	647819	1093630
372	649580	1091922
373	651313	1090165
374	653043	1088405
375	654762	1086626
376	656508	1084892
377	658225	1083111
378	659963	1081364
379	661706	1079626
380	663440	1077872
381	665172	1076117
382	666932	1074404
383	668673	1072664
384	670419	1070930
385	672167	1069199
386	673902	1067446
387	675665	1065740
388	677373	1063946
389	679120	1062214
390	680889	1060515
391	682620	1058758
392	684346	1056993
393	686063	1055215
394	687829	1053510
395	689557	1051748
396	691332	1050058
397	693052	1048285
398	694787	1046534
399	696518	1044777
400	698236	1043000
401	699985	1041272
402	701701	1039493
403	703489	1037820
404	705222	1036067
405	706947	1034302
406	708667	1032530
407	710414	1030797
408	712173	1029082
409	713900	1027319
410	715640	1025577
411	717353	1023795
412	719085	1022041
413	720812	1020280
414	722550	1018535
415	724281	1016779
416	725990	1014994
417	727712	1013227
418	729469	1011507
419	731196	1009748
420	732960	1008038
421	734692	1006285
422	736424	1004532
423	738140	1002756
424	739876	1001009
425	741603	999249
426	743329	997489
427	745068	995746
428	746786	993975
429	748511	992213
430	750241	990457
431	752025	988774
432	753738	986996
433	755473	985248
434	757209	983502
435	758950	981761
436	760702	980035
437	762425	978272
438	764194	976567
439	765912	974797
440	767667	973075
441	769383	971303
442	771100	969533
443	772836	967786
444	774572	966039
445	776329	964319
446	778055	962561
447	779825	960856
448	781543	959088
449	783266	957325
450	784984	955557
451	786708	953797
452	788442	952048
453	790170	950293
454	791908	948549
455	793629	946786
456	795379	945056
457	797116	943312
458	798846	941559
459	800616	939853
460	802341	938095
461	804092	936367
462	805806	934595
463	807568	932880
464	809313	931145
465	811043	929393
466	812787	927657
467	814508	925893
468	816229	924132
469	817956	922376
470	819693	920632
471	821408	918863
472	823143	917117
473	824897	915392
474	826653	913669
475	828376	911910
476	830081	910131
477	831812	908380
478	833514	906598
479	835279	904886
480	837010	903136
481	838732	901376
482	840468	899631
483	842180	897861
484	843931	896133
485	845646	894366
486	847369	892608
487	849091	890850
488	850809	889087
489	852534	887331
490	854248	885565
491	856002	883839
492	857728	882085
493	859462	880340
494	861206	878604
495	862959	876878
496	864693	875132
497	866454	873413
498	868195	871674
499	869946	869946
500	871718	868238
501	873418	866459
502	875142	864703
503	876915	862995
504	878635	861236
505	880401	859522
506	882107	857749
507	883847	856009
508	885564	854248
509	887285	852490
510	889017	850743
511	890740	848986
512	892478	847245
513	894186	845476
514	895922	843732
515	897639	841972
516	899382	840235
517	901118	838492
518	902850	836745
519	904594	835010
520	906296	833236
521	908055	831514
522	909790	829770
523	911521	828023
524	913236	826261
525	914961	824509
526	916702	822770
527	918405	820998
528	920151	819265
529	921870	817508
530	923600	815759
531	925302	813987
532	927031	812239
533	928747	810480
534	930478	808733
535	932218	806995
536	933939	805239
537	935674	803497
538	937390	801738
539	939130	800000
540	940845	798240
541	942569	796489
542	944292	794736
543	946016	792984
544	947740	791233
545	949460	789478
546	951191	787732
547	952911	785978
548	954652	784241
549	956379	782492
550	958080	780722
551	959815	778980
552	961540	777230
553	963263	775479
554	964986	773727
555	966714	771980
556	968454	770242
557	970178	768492
558	971904	766743
559	973621	764988
560	975344	763237
561	977057	761478
562	978765	759717
563	980499	757974
564	982216	756219
565	983956	754482
566	985666	752722
567	987467	751031
568	989184	749276
569	990900	747521
570	992684	745817
571	994412	744071
572	996153	742334
573	997857	740569
574	999616	738846
575	1001360	737112
576	1003082	735361
577	1004791	733602
578	1006517	731854
579	1008278	730132
580	1010004	728385
581	1011732	726639
582	1013448	724884
583	1015186	723146
584	1016910	721397
585	1018635	719650
586	1020375	717913
587	1022125	716182
588	1023842	714430
589	1025578	712689
590	1027299	710939
591	1029013	709185
592	1030732	707433
593	1032465	705692
594	1034184	703940
595	1035917	702199
596	1037636	700448
597	1039370	698707
598	1041112	696972
599	1042838	695225
600	1044571	693484
601	1046320	691753
602	1048088	690034
603	1049804	688282
604	1051549	686548
605	1053275	684802
606	1055004	683059
607	1056720	681306
608	1058455	679566
609	1060198	677831
610	1061900	676071
611	1063670	674353
612	1065396	672607
613	1067181	670899
614	1068963	669188
615	1070697	667447
616	1072432	665707
617	1074142	663951
618	1075885	662216
619	1077602	660466
620	1079319	658714
621	1081033	656962
622	1082747	655209
623	1084509	653486
624	1086251	651750
625	1088004	650022
626	1089716	648268
627	1091428	646514
628	1093148	644766
629	1094880	643025
630	1096617	641286
631	1098325	639531
632	1100074	637799
633	1101776	636041
634	1103507	634299
635	1105233	632554
636	1106965	630813
637	1108742	629098
638	1110452	627345
639	1112182	625602
640	1113892	623849
641	1115657	622126
642	1117390	620386
643	1119117	618642
644	1120845	616899
645	1122556	615147
646	1124281	613402
647	1125991	611649
648	1127729	609912
649	1129557	608223
650	1131348	606514
651	1133139	604804
652	1134859	603056
653	1136582	601311
654	1138290	599557
655	1140036	597824
656	1141762	596080
657	1143494	594339
658	1145265	592618
659	1146992	590874
660	1148717	589130
661	1150446	587388
662	1152176	585646
663	1153937	583920
664	1155673	582181
665	1157381	580428
666	1159133	578698
667	1160875	576962
668	1162599	575217
669	1164329	573475
670	1166047	571728
671	1167780	569988
672	1169497	568240
673	1171232	566501
674	1172985	564770
675	1174719	563031
676	1176453	561291
677	1178161	559540
678	1179912	557808
679	1181646	556069
680	1183377	554327
681	1185145	552604
682	1186906	550877
683	1188634	549135
684	1190369	547396
685	1192105	545657
686	1193834	543915
687	1195609	542194
688	1197359	540462
689	1199095	538724
690	1200805	536973
691	1202555	535241
692	1204279	533497
693	1205994	531749
694	1207740	530015
695	1209458	528269
696	1211204	526535
697	1212952	524801
698	1214672	523056
699	1216404	521316
700	1218176	519593
701	1219962	517875
702	1221693	516135
703	1223496	514424
704	1225217	512679
705	1227008	510963
706	1228731	509219
707	1230452	507474
708	1232183	505734
709	1233885	503981
710	1235616	502240
711	1237325	500491
712	1239046	498746
713	1240779	497006
714	1242510	495266
715	1244246	493528
716	1245978	491787
717	1247704	490045
718	1249412	488296
719	1251156	486560
720	1252876	484816
721	1254623	483082
722	1256341	481337
723	1258059	479591
724	1259792	477852
725	1261515	476109
726	1263276	474380
727	1264990	472633
728	1266718	470892
729	1268472	469161
730	1270177	467411
731	1271917	465674
732	1273641	463931
733	1275373	462192
734	1277087	460446
735	1278801	458700
736	1280548	456966
737	1282274	455224
738	1284039	453497
739	1285793	451765
740	1287542	450031
741	1289266	448289
742	1290990	446547
743	1292707	444802
744	1294421	443056
745	1296165	441321
746	1297876	439575
747	1299620	437840
748	1301326	436092
749	1303044	434348
750	1304782	432610
751	1306508	430869
752	1308244	429132
753	1309964	427388
754	1311694	425649
755	1313475	423925
756	1315204	422185
757	1316923	420442
758	1318678	418710
759	1320405	416970
760	1322112	415223
761	1323865	413490
762	1325585	411748
763	1327302	410004
764	1329030	408264
765	1330782	406531
766	1332519	404794
767	1334233	403049
768	1335983	401316
769	1337702	399573
770	1339447	397838
771	1341246	396119
772	1342981	394381
773	1344725	392645
774	1346461	390908
775	1348196	389170
776	1349909	387425
777	1351663	385693
778	1353379	383949
779	1355112	382211
780	1356829	380468
781	1358555	378727
782	1360307	376994
783	1362029	375252
784	1363762	373514
785	1365474	371770
786	1367198	370029
787	1368924	368289
788	1370662	366552
789	1372435	364824
790	1374155	363082
791	1375889	361344
792	1377634	359609
793	1379362	357869
794	1381085	356129
795	1382848	354398
796	1384623	352670
797	1386358	350932
798	1388247	349233
799	1390315	347578
800	1392118	345857
801	1393960	344144
802	1395820	342436
803	1397566	340700
804	1399296	338959
805	1401028	337220
806	1402840	335499
807	1404585	333762
808	1406311	332021
809	1408065	330286
810	1409812	328550
811	1411549	326812
812	1413285	325073
813	1415022	323334
814	1416742	321591
815	1418539	319866
816	1420284	318129
817	1422025	316391
818	1423745	314649
819	1425459	312905
820	1427190	311165
821	1428920	309425
822	1430676	307691
823	1432401	305949
824	1434158	304215
825	1435918	302481
826	1437631	300737
827	1439352	298995
828	1441129	297265
829	1442857	295525
830	1444639	293795
831	1446339	292049
832	1448064	290308
833	1449780	288565
834	1451519	286827
835	1453267	285090
836	1455000	283351
837	1456720	281609
838	1458614	279900
839	1460407	278172
840	1462188	276442
841	1464012	274719
842	1465767	272984
843	1467533	271250
844	1469305	269517
845	1471135	267795
846	1472927	266066
847	1474662	264326
848	1476383	262584
849	1478098	260840
850	1479846	259103
851	1481677	257380
852	1483422	255642
853	1485166	253904
854	1486914	252166
855	1488663	250429
856	1490409	248691
857	1492147	246952
858	1493887	245213
859	1495671	243481
860	1497416	241743
861	1499125	239999
862	1500862	238259
863	1502576	236516
864	1504296	234774
865	1506035	233035
866	1507767	231295
867	1509496	229554
868	1511260	227819
869	1513014	226082
870	1514773	224346
871	1516488	222603
872	1518198	220860
873	1519913	219117
874	1521640	217377
875	1523343	215633
876	1525080	213893
877	1526789	212150
878	1528535	210412
879	1530261	208672
880	1531980	206930
881	1533700	205188
882	1535455	203452
883	1537182	201711
884	1538889	199968
885	1540633	198230
886	1542386	196493
887	1544111	194752
888	1545820	193010
889	1547641	191281
890	1549499	189557
891	1551313	187827
892	1553051	186087
893	1554792	184348
894	1556559	182613
895	1558293	180873
896	1560054	179136
897	1561777	177395
898	1563490	175653
899	1565222	173913
900	1566940	172172
901	1568708	170436
902	1570435	168695
903	1572164	166955
904	1573889	165214
905	1575632	163476
906	1577355	161735
907	1579088	159995
908	1580854	158259
909	1582615	156522
910	1584402	154787
911	1586123	153046
912	1587847	151306
913	1589560	149564
914	1591286	147824
915	1593032	146085
916	1594736	144343
917	1596481	142605
918	1598207	140864
919	1599939	139125
920	1601655	137384
921	1603366	135642
922	1605113	133904
923	1606843	132164
924	1608597	130426
925	1610305	128685
926	1612028	126945
927	1613755	125205
928	1615472	123464
929	1617184	121723
930	1618894	119982
931	1620611	118242
932	1622305	116500
933	1624050	114761
934	1625761	113020
935	1627496	111281
936	1629214	109541
937	1630954	107802
938	1632682	106063
939	1634427	104325
940	1636157	102585
941	1637885	100846
942	1639635	99108
943	1641387	97370
944	1643106	95630
945	1644816	93890
946	1646521	92149
947	1648241	90409
948	1650032	88674
949	1651734	86933
950	1653453	85193
951	1655184	83454
952	1656903	81715
953	1658613	79975
954	1660402	78238
955	1662113	76498
956	1663834	74759
957	1665605	73022
958	1667342	71283
959	1669091	69545
960	1670800	67805
961	1672527	66066
962	1674312	64329
963	1676041	62590
964	1677761	60851
965	1679484	59112
966	1681207	57373
967	1682959	55635
968	1684682	53895
969	1686388	52156
970	1688124	50417
971	1689861	48679
972	1691617	46941
973	1693368	45202
974	1695103	43464
975	1696847	41725
976	1698573	39986
977	1700298	38248
978	1702019	36509
979	1703745	34770
980	1705486	33031
981	1707207	31293
982	1708988	29555
983	1710712	27816
984	1712452	26077
985	1714162	24339
986	1715876	22600
987	1717609	20861
988	1719322	19122
989	1721054	17384
990	1722756	15645
991	1724480	13907
992	1726277	12169
993	1728013	10430
994	1729730	8692
995	1731475	6953
996	1733216	5215
997	1734954	3476
998	1736681	1738
999	1738403	0
